csv_post_title,csv_post_post,csv_post_type,csv_post_categories,description_value,item_value,unit_value,size_value,pack_value,cbm_value,qty_value
Test,test,post,Room divider,test,test,pc,test,1,1,1
BL110001,BL110001,post,Clock,PU WOODEN BOX,BL110001,S/2,"25*25*20
20.5*20.5*17
15.5*15.5*14",1,0.074,781
BL110002,BL110002,post,Round glass,PU WOODEN BOX,BL110002,S/2,"34*20*10
29.5*16.5*7.5",1,0.065,892
BL110003,BL110003,post,2splits decorative clock,PU WOODEN BOX,BL110003,S/2,"42*29.5*18
36*23.5*13",1,0.061,950
BL110004,BL110004,post,3splits decorative clock,PU WOODEN BOX,BL110004,S/3,"54*36.5*29
47*29*24.5
40.5*22.5*21",1,0.083,696
BL110005,BL110005,post,Metal clock,PU WOODEN BOX,BL110005,S/3,"56*34.5*29.5
46*27.5*24
36.5*20.5*20.5",1,0.085,679
BL110006,BL110006,post,Round MDF clock,PU WOODEN BOX,BL110006,S/3,"32.5*32.5*30.5
26*26*26.5
20*20*22.5",1,0.074,783
BL110007,BL110007,post,Round MDF clock,PU WOODEN BOX,BL110007,S/3,"40*33*17.5
35*27*14
30*21*11",1,0.057,1009
BL110008,BL110008,post,Round MDF clock,PU WOODEN BOX,BL110008,S/2,"58.5*32.5*27
47.5*25.5*23",1,0.072,802
BL110009,BL110009,post,Hot selling,PU WOODEN BOX,BL110009,S/3,"32*32*16.5
27*27*14.5
21.5*21.5*12.5",1,0.04,1433
BL110010,BL110010,post,Hot selling,PU WOODEN TUB,BL110010,S/2,"36*26.5*25
30.5*20.5*23",1,0.11,529
BL110011,BL110011,post,Hot selling,PU WOODEN BOX,BL110011,S/3,"32*32*16.5
27*27*14.5
21.5*21.5*12.5",1,0.04,1433
BL110012,BL110012,post,Hot selling,PU WOODEN BOX,BL110012,S/2,"34*20*10
29.5*16.5*7.5",1,0.065,892
BL110013,BL110013,post,Book box,PU WOODEN BOX,BL110013,S/2,"42*29.5*18
36*23.5*13",1,0.053,1101
BL110014,BL110014,post,Storage box,PU WOODEN BOX,BL110014,S/3,"32*32*16.5
27*27*14.5
21.5*21.5*12.5",1,0.04,1433
BL110015,BL110015,post,Storage box,PU WOODEN TRAYS,BL110015,S/3,"45*32*7
42*29*6.5
39*26*6",1,0.105,552
BL110016,BL110016,post,Leather wood box,PU WOODEN BOX,BL110016,S/3,"46*25*20
19*19*16
19*19*16",1,0.074,782
BL110017,BL110017,post,Plain wooden box,PU WOODEN TRAYS,BL110017,S/3,"45*32*7
42*29*6.5
39*26*6",1,0.105,552
BL110018,BL110018,post,Wine box/cabinet,PU WOODEN BOX,BL110018,S/3,"46*25*20
19*19*16
19*19*16",1,0.074,782
BL110019,BL110019,post,Leather tray,PU WOODEN BOX,BL110019,S/2,40*28*20     33*21*15,1,0.055,1045
BL110020,BL110020,post,Trays,PU WOODEN BOX,BL110020,PC,36*22.5*13.5,1,0.078,743
BL110021,BL110021,post,Plain wooden box,PU WOODEN BOX,BL110021,PC,36*22.5*13.5,1,0.078,743
BL110022,BL110022,post,Clock,PU WOODEN BOX,BL110022,PC,36*22.5*13.5,1,0.078,743
BL110023,BL110023,post,Round glass,PU WOODEN BOX,BL110023,S/3,46*25*20   2 19*19*16,1,0.074,782
BL110024,BL110024,post,2splits decorative clock,PU WOODEN TRAYS,BL110024,S/3,45*32*7      42*29*6.5     39*26*6,1,0.105,552
BL110025,BL110025,post,3splits decorative clock,PU WOODEN TUB,BL110025,PC,32*16*8.5,1,0.042,1397
BL110026,BL110026,post,Metal clock,PU WOODEN BOX,BL110026,S/3,78*38.5*38   32*32*20     32*32*20,1,0.164,352
BL110027,BL110027,post,Round MDF clock,PU WOODEN TUB,BL110027,S/3,47*23.5*18   43.5*20.5*17  40.5*17.5*16,1,0.104,555
BL110028,BL110028,post,Round MDF clock,PU WOODEN BOX,BL110028,S/3,37*28*27     30.5*23*24   25.5*18.5*20,1,0.089,654
BL110029,BL110029,post,Round MDF clock,PU WOODEN BOX,BL110029,S/3,40*33*16.5    35*27*13.5    30*21*10.5,1,0.065,892
BL110030,BL110030,post,Hot selling,PU WOODEN TRAYS,BL110030,S/3,50*33.5*9.5   45*30*9       40*27.5*8.5,1,0.127,455
BL110032,BL110032,post,Hot selling,PU WOODEN BOX,BL110032,S/2,36*22.5*18.5   31*17.5*15,1,0.094,615
BL110033,BL110033,post,Hot selling,PU WOODEN TRAYS,BL110033,S/3,45*32*7       42*29*6.5     39*26*6,1,0.105,552
BL110034,BL110034,post,Hot selling,PU WOODEN SUITCASE,BL110034,PC,34.5*24.5*14,1,0.085,679
BL110035,BL110035,post,Book box,PU WOODEN BOX,BL110035,S/2,34*20*11      29.5*16.5*7.5,1,0.065,892
BL110036,BL110036,post,Storage box,PU WOODEN BOX,BL110036,S/3,31.5*20       26.5*18.5     22.5*16.5,1,0.047,1230
BL110037,BL110037,post,Storage box,PU WOODEN BOX,BL110037,S/2,18*12.5*11    12.5*9.5*9,1,0.04,1435
BL110038,BL110038,post,Leather wood box,PU WOODEN BOX,BL110038,S/2,21*14.5*14    18*10.5*11,1,0.065,895
BL110039,BL110039,post,Plain wooden box,PU WOODEN BOX,BL110039,S/2,21*14*13.5    18*10*11.5,1,0.066,875
BL110040,BL110040,post,Wine box/cabinet,PU WOODEN BOX,BL110040,S/2,30.5*24*19    25.5*19*16,1,0.07,833
BL110041,BL110041,post,Leather tray,PU WOODEN BOX,BL110041,PC,36*24*12,1,0.099,586
BL110043,BL110043,post,Trays,PU WOODEN BOX,BL110043,S/2,21*14*14      18*10.5*11.5,1,0.066,875
BL110044,BL110044,post,Plain wooden box,PU WOODEN BOX,BL110044,PC,18*10.5*12,1,0.033,1746
BL110045,BL110045,post,Clock,PU WOODEN BOX,BL110045,S/3,33.5*25*20    30*21*18      26*16.5*16.5,1,0.08,727
BL110046,BL110046,post,Round glass,PU WOODEN BOX,BL110046,PC,23*16*13.5,1,0.025,2274
BL110047,BL110047,post,2splits decorative clock,PU WOODEN TRAYS,BL110047,S/3,50*33.5*9.5   45*30*9       40*27.5*8.5,1,0.127,455
BL110048,BL110048,post,3splits decorative clock,PU WOODEN BOX,BL110048,S/3,61*31*45      48.5*33*21    42*25.5*17,1,0.085,681
BL110049,BL110049,post,Metal clock,PU WOODEN TRAYS,BL110049,PC,32*16*8.8,1,0.042,1397
BL110050,BL110050,post,Round MDF clock,PU WOODEN TRAYS,BL110050,PC,32*16*8.5,1,0.042,1397
BL110051,BL110051,post,Round MDF clock,PU WOODEN TRAYS,BL110051,PC,32*16*8.5,1,0.042,1397
BL110052,BL110052,post,Round MDF clock,PU WOODEN BOX,BL110052,PC,26*13.5*8,1,0.052,1120
BL110053,BL110053,post,Hot selling,PU WOODEN BOX,BL110053,PC,23*14.5*8,1,0.064,906
BL110054,BL110054,post,Hot selling,PU WOODEN BOX,BL110054,PC,20.5*13.5*5.5,1,0.046,1257
BL110055,BL110055,post,Hot selling,PU WOODEN BOX,BL110055,PC,17.5*17.5*7.5,1,0.048,1217
BL110056,BL110056,post,Hot selling,PU WOODEN BOX,BL110056,PC,19*13*7,1,0.043,1362
BL110057,BL110057,post,Book box,PU WOODEN BOX,BL110057,PC,25*16.5*8.5,1,0.095,607
BL110059,BL110059,post,Storage box,PU WOODEN BOX,BL110059,PC,30*8.5*9,1,0.046,1256
BL110060,BL110060,post,Storage box,PU WOODEN BOX,BL110060,PC,13.5*6.5,1,0.089,653
BL110061,BL110061,post,Leather wood box,PU WOODEN BOX,BL110061,PC,15*15*10.5,1,0.044,1317
BL110062,BL110062,post,Plain wooden box,PU WOODEN BOX,BL110062,PC,15*15*10.5,1,0.044,1317
BL110063,BL110063,post,Wine box/cabinet,PU WOODEN BOX,BL110063,PC,28.5*11.5*8,1,0.039,1468
BL110064,BL110064,post,Leather tray,PU WOODEN BOX,BL110064,PC,17*12*7,1,0.052,1115
BL110065,BL110065,post,Trays,PU WOODEN BOX,BL110065,PC,15.5*15.5*8.5,1,0.039,1479
BL110067,BL110067,post,Plain wooden box,PU WOODEN BOX,BL110067,S/2,36*24.5*23.5 33*22*20.5,1,0.097,599
BL110068,BL110068,post,Clock,PU WOODEN BOX,BL110068,PC,36*24*20,1,0.083,695
BL110069,BL110069,post,Round glass,PU WOODEN TRAYS,BL110069,S/3,56*38.4*11    52.5*35.5*10  50*32.5*9.5,1,0.108,536
BL110070,BL110070,post,2splits decorative clock,PU WOODEN WINE BOX,BL110070,PC,35.5*12*13.5,1,0.105,550
